ID,Year,DOY,UTC,AirTemp_C,WindSpd_m/s,WindGst_m/s,WindDir_deg
12,2004,244,1700,20.5,1.1,1.5,181
12,2004,244,1705,20.6,1.2,1.8,191
12,2004,244,1710,20.7,1.4,1.9,197
12,2004,244,1715,20.7,1.4,1.9,187
12,2004,244,1720,20.8,1.4,1.8,189
12,2004,244,1725,20.9,1.4,2.1,190
12,2004,244,1730,21.0,1.5,2.1,185
12,2004,244,1735,21.0,1.6,2.1,174
12,2004,244,1740,21.0,1.5,2.0,176
12,2004,244,1745,21.1,1.5,2.0,193
12,2004,244,1750,21.1,1.9,2.3,178
12,2004,244,1755,21.1,2.1,2.8,181
12,2004,244,1800,21.1,2.1,2.7,174
12,2004,244,1805,21.1,2.1,2.9,173
12,2004,244,1810,21.1,2.4,2.9,160
12,2004,244,1815,21.1,2.5,3.1,161
12,2004,244,1820,21.1,3.0,3.5,154
12,2004,244,1825,21.1,3.2,3.7,161
12,2004,244,1830,21.2,3.2,3.7,161
12,2004,244,1835,21.3,3.2,3.8,158
12,2004,244,1840,21.3,3.2,3.6,170
12,2004,244,1845,21.4,3.4,4.0,161
12,2004,244,1850,21.4,3.6,4.0,163
12,2004,244,1855,21.5,3.5,4.4,164
12,2004,244,1900,21.5,3.4,3.9,165
12,2004,244,1905,21.7,3.4,4.1,164
12,2004,244,1910,21.7,3.6,4.0,159
12,2004,244,1915,21.8,3.4,3.8,170
12,2004,244,1920,21.9,3.4,4.1,168
12,2004,244,1925,22.0,3.3,4.0,173
12,2004,244,1930,22.0,3.4,4.0,167
12,2004,244,1935,22.0,3.5,4.1,167
12,2004,244,1940,22.1,3.7,4.3,164
12,2004,244,1945,22.1,3.8,4.2,165
12,2004,244,1950,22.3,3.4,3.8,173
12,2004,244,1955,22.4,3.5,4.1,174
12,2004,244,2000,22.4,3.5,3.9,170
12,2004,244,2005,22.4,3.4,3.9,165
12,2004,244,2010,22.5,3.6,4.0,168
12,2004,244,2015,22.6,3.6,4.4,171
12,2004,244,2020,22.7,3.6,4.0,167
12,2004,244,2025,22.8,3.5,3.9,169
12,2004,244,2030,22.9,3.6,4.1,171
12,2004,244,2035,23.0,3.5,4.0,168
12,2004,244,2040,23.1,3.4,3.8,171
12,2004,244,2045,23.1,3.6,4.1,170
12,2004,244,2050,23.3,3.3,3.7,172
12,2004,244,2055,23.3,3.4,3.8,162
12,2004,244,2100,23.3,3.4,3.9,155
12,2004,244,2105,23.3,3.6,4.1,148
12,2004,244,2110,23.3,3.6,4.0,146
12,2004,244,2115,23.4,3.2,4.0,143
12,2004,244,2120,23.3,3.7,4.0,147
12,2004,244,2125,23.4,4.0,4.4,149
12,2004,244,2130,23.4,4.2,4.6,150
12,2004,244,2135,23.4,4.6,5.3,155
12,2004,244,2140,23.5,4.5,5.1,158
12,2004,244,2145,23.6,4.5,5.1,154
12,2004,244,2150,23.5,4.6,5.1,152
12,2004,244,2155,23.5,5.0,5.7,156
12,2004,244,2200,23.5,4.8,5.4,154
12,2004,244,2205,23.6,4.7,5.3,153
12,2004,244,2210,23.6,4.6,5.0,155
12,2004,244,2215,23.7,4.8,5.1,156
12,2004,244,2220,23.8,4.7,5.2,163
12,2004,244,2225,23.8,4.7,5.1,166
12,2004,244,2230,23.8,4.5,5.0,163
12,2004,244,2235,23.8,4.3,4.6,163
12,2004,244,2240,23.8,4.5,5.0,160
12,2004,244,2245,23.8,4.6,5.1,159
12,2004,244,2250,23.7,4.9,5.4,156
12,2004,244,2255,23.7,4.9,5.4,159
12,2004,244,2300,23.7,4.7,5.2,159
12,2004,244,2305,23.7,5.1,5.5,160
12,2004,244,2310,23.6,5.0,5.5,161
12,2004,244,2315,23.6,4.8,5.4,161
12,2004,244,2320,23.5,5.1,5.8,163
12,2004,244,2325,23.4,4.9,5.4,163
12,2004,244,2330,23.2,5.0,5.5,167
12,2004,244,2335,23.2,5.1,5.6,168
12,2004,244,2340,23.1,4.9,5.4,165
12,2004,244,2345,23.1,5.0,5.5,163
12,2004,244,2350,23.0,5.0,5.9,166
12,2004,244,2355,23.2,5.1,5.7,173
12,2004,245,0000,23.3,5.4,5.9,182
12,2004,245,0005,23.4,5.5,6.2,185
12,2004,245,0010,23.3,5.4,6.0,183
12,2004,245,0015,23.4,5.3,5.7,186
12,2004,245,0020,23.3,5.2,5.7,185
12,2004,245,0025,23.3,5.3,5.8,180
12,2004,245,0030,23.2,5.4,6.3,178
12,2004,245,0035,23.2,5.3,5.7,180
12,2004,245,0040,23.2,4.9,5.5,181
12,2004,245,0045,23.1,4.7,5.6,185
12,2004,245,0050,23.1,5.1,5.8,184
12,2004,245,0055,23.1,5.2,5.8,186
12,2004,245,0100,23.1,5.3,5.7,186
12,2004,245,0105,23.0,5.0,5.7,187
12,2004,245,0110,23.0,4.7,5.4,187
12,2004,245,0115,23.0,5.2,5.8,184
12,2004,245,0120,23.0,5.3,5.8,185
12,2004,245,0125,23.0,4.9,5.6,187
12,2004,245,0130,22.9,3.4,4.2,190
12,2004,245,0135,22.9,4.5,5.8,191
